[2026-04-26 02:48:10.531] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2026-04-26 02:48:10.564] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2026-04-26 02:48:10.564] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2026-04-26 02:48:11.466] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2026-04-26 02:48:11.468] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":22}
[2026-04-26 02:48:11.469] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":54}
[2026-04-26 02:48:11.469] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":60}
[2026-04-26 02:48:11.471] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":62}
[2026-04-26 02:48:11.472] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":65}
[2026-04-26 02:48:11.474] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":66}
[2026-04-26 02:48:11.475] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":69}
[2026-04-26 02:48:11.477] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":70}
[2026-04-26 02:48:11.525] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":71}
[2026-04-26 02:48:11.538] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":74}
[2026-04-26 02:48:11.539] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":81}
[2026-04-26 02:48:11.540] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":88}
[2026-04-26 02:48:11.541] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2026-04-26 02:48:11.541] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2026-04-26 02:48:12.329] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2026-04-26 02:48:12.335] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2026-04-26 02:48:12.335] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2026-04-26 02:48:12.337] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2026-04-26 02:48:12.344] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2026-04-26 02:48:12.344] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2026-04-26 02:48:12.347] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2026-04-26 02:48:12.347] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2026-04-26 02:48:12.352] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2026-04-26 02:48:12.352] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2026-04-26 02:48:12.355] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2026-04-26 02:48:12.359] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2026-04-26 02:48:12.362] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
